栅格ID,小区ID,天线水平倾斜角,天线垂直倾斜角,距离,天线高度,RSRP
1262,481369_101498,125890571,3,349,315,25,-104
3141,481249_101495,125890330,330,352,2052,32,-104
905,481366_101497,125890571,11,350,253,25,-104
823,481380_101481,125870872,101,134,238,45,-107
797,481364_101505,125890571,324,352,233,25,-92
3256,481411_101473,125890330,229,170,2917,32,-108
2069,481368_101485,125890571,45,349,473,25,-84
1399,481301_101548,125890330,4,356,338,32,-98
1087,481366_101494,125890571,25,350,285,25,-108
2249,481362_101528,17854861,10,348,549,26,-97
2214,481369_101504,17854861,77,358,531,26,-118
1747,481330_101510,17854861,238,159,398,26,-86
1915,481337_101498,125890571,168,161,431,25,-113
1855,481389_101495,125870872,35,2,418,45,-95
3098,481388_101444,17854861,117,164,1920,26,-105
1448,481362_101497,125870872,281,30,345,45,-114
3180,481413_101541,125890330,195,170,2259,32,-121
1370,481360_101517,125931787,34,356,334,29,-91
1883,481361_101522,125931787,21,354,424,29,-86
257,481317_101554,125890330,114,141,125,32,-107
2886,481351_101578,125932299,6,344,1284,25,-104
558,481327_101535,125932299,299,358,187,25,-98
15,481357_101500,125890571,355,21,41,25,-97
2668,481393_101493,125890571,5,346,882,25,-98
75,481346_101513,125931787,304,32,67,29,-93
2421,481359_101536,125932299,61,347,630,25,-124
2090,481320_101545,125932299,305,348,482,25,-87
994,481304_101550,125890330,13,358,268,32,-89
2325,481359_101477,125890571,76,355,582,25,-112
3202,481420_101445,17854861,101,162,2354,26,-102
667,481348_101519,17854861,335,353,207,26,-105
793,481357_101513,17854861,47,355,233,26,-106
1391,481387_101485,125870872,70,17,336,45,-102
2096,481376_101504,125890571,343,348,483,25,-98
706,481374_101496,125870872,338,7,215,45,-90
1720,481319_101539,125932299,289,353,392,25,-83
647,481360_101493,125890571,52,356,204,25,-96
1986,481359_101525,125931787,9,353,448,29,-102
2481,481384_101503,125890571,348,347,661,25,-105
3121,481335_101433,125931787,158,169,1969,29,-95
2772,481320_101471,125890571,134,163,1096,25,-104
809,481337_101511,17854861,243,153,237,26,-92
574,481379_101483,125870872,95,111,189,45,-101
2916,481399_101536,125931787,34,351,1351,29,-79
627,481339_101535,125932299,35,351,201,25,-87
2135,481337_101551,125890330,185,167,497,32,-72
2253,481371_101510,17854861,62,351,550,26,-98
2983,481347_101437,125890571,92,146,1590,25,-126
1035,481313_101560,125890330,85,53,275,32,-120
1479,481362_101514,17854861,47,352,351,26,-97
1414,481335_101543,125932299,355,347,340,25,-120
1831,481390_101492,125870872,45,3,413,45,-121
1496,481361_101517,125931787,35,355,355,29,-93
1920,481391_101484,125870872,70,13,431,45,-97
2420,481381_101509,125890571,335,347,629,25,-96
235,481358_101504,125890571,298,11,117,25,-108
1785,481358_101484,125890571,75,359,405,25,-106
2577,481387_101511,125890571,335,347,776,25,-124
2518,481375_101515,125870872,334,359,688,45,-94
465,481350_101517,125931787,354,359,170,29,-82
72,481315_101547,125890330,297,44,67,32,-111
204,481348_101515,17854861,341,0,109,26,-100
537,481348_101518,17854861,336,354,182,26,-103
2928,481376_101433,125870872,146,172,1371,45,-103
439,481309_101547,125890330,350,2,165,32,-71
1740,481363_101517,125931787,38,355,396,29,-84
2554,481382_101483,125890571,28,347,744,25,-110
1394,481331_101543,125932299,337,347,337,25,-121
3004,481276_101519,17854861,247,163,1656,26,-78
632,481356_101492,125890571,80,26,202,25,-117
649,481381_101485,125870872,77,42,204,45,-97
1012,481358_101515,125931787,38,357,271,29,-89
2724,481383_101531,125931787,30,351,968,29,-111
2337,481372_101516,17854861,48,349,587,26,-113
2789,481342_101512,125890330,245,167,1117,32,-92
1962,481390_101480,125870872,83,39,442,45,-90
670,481355_101515,17854861,31,354,209,26,-99
206,481311_101550,125890330,17,8,110,32,-81
1216,481356_101520,17854861,13,350,307,26,-97
882,481376_101497,125870872,348,5,249,45,-95
822,481355_101517,125931787,21,357,238,29,-93
929,481312_101559,125890330,78,26,257,32,-123
1473,481381_101476,125870872,114,157,350,45,-106
2943,481257_101532,125890330,353,352,1419,32,-91
2502,481384_101506,125890571,342,347,674,25,-119
2331,481355_101533,17854861,349,348,584,26,-107
996,481327_101539,125932299,314,350,268,25,-104
2028,481361_101524,125931787,16,353,459,29,-101
591,481316_101557,125890330,101,135,194,32,-107
1573,481363_101510,125931787,62,359,366,29,-112
1335,481357_101487,125890571,77,6,328,25,-115
3049,481393_101451,17854861,111,163,1833,26,-111
3304,481313_101664,125932299,335,343,3395,25,-123
1019,481366_101495,125890571,20,350,272,25,-109
2281,481362_101493,125931787,109,161,562,29,-88
820,481338_101515,125931787,265,118,238,29,-80
1245,481327_101541,125932299,318,349,313,25,-104
2908,481397_101484,125931787,88,26,1331,29,-126
594,481355_101508,17854861,78,23,194,26,-108
2265,481386_101506,125870872,5,359,552,45,-114
838,481352_101491,125890571,104,144,241,25,-112
1717,481360_101521,125931787,21,354,391,29,-95
1533,481359_101486,125890571,70,357,360,25,-115
1689,481363_101516,17854861,42,351,387,26,-84
1234,481359_101488,125890571,68,357,311,25,-117
3062,481340_101437,125931787,155,169,1856,29,-90
315,481353_101510,17854861,66,13,137,26,-117
1567,481354_101524,125931787,357,354,366,29,-94
379,481362_101499,125890571,3,354,152,25,-96
1701,481364_101511,125931787,59,358,388,29,-108
2116,481355_101529,125931787,353,353,490,29,-129
1476,481355_101486,125890571,86,41,351,25,-100
2147,481357_101520,125890571,269,91,502,25,-118
1503,481353_101486,125890571,94,127,356,25,-105
2906,481371_101564,125890330,175,169,1331,32,-102
1917,481363_101520,125931787,29,354,431,29,-82
3200,481404_101433,17854861,113,164,2349,26,-105
2813,481421_101500,125870872,45,358,1154,45,-98
511,481355_101507,125890571,262,124,177,25,-103
360,481313_101544,125890330,306,11,149,32,-100
2415,481397_101499,125870872,34,0,627,45,-94
2285,481371_101516,125931787,47,354,564,29,-108
1079,481367_101504,125890571,335,350,283,25,-112
605,481362_101505,125890571,317,354,196,25,-108
799,481337_101538,125932299,12,349,234,25,-106
2699,481394_101489,125890571,11,346,929,25,-118
1173,481339_101540,125932299,17,347,300,25,-95
563,481312_101556,125890330,70,20,188,32,-92
2506,481384_101507,125890571,340,347,680,25,-110
3275,481445_101470,125932299,102,160,2994,25,-98
2465,481350_101485,125931787,143,166,650,29,-96
661,481347_101519,125931787,328,359,206,29,-85
2784,481403_101507,125890571,346,346,1109,25,-98
2826,481360_101490,125932299,128,161,1177,25,-84
1247,481355_101521,125931787,7,355,313,29,-105
698,481373_101496,125870872,331,8,213,45,-105
3352,481167_101642,125890330,42,351,4140,32,-104
1588,481385_101497,125870872,22,2,368,45,-101
344,481316_101555,125890330,102,129,145,32,-98
1256,481366_101492,125890571,32,350,314,25,-107
3188,481380_101410,125890571,70,346,2323,25,-109
1932,481366_101511,17854861,59,352,434,26,-99
2295,481368_101523,17854861,30,349,569,26,-80
3050,481347_101482,125890330,255,167,1836,32,-105
1058,481352_101521,17854861,355,351,279,26,-98
275,481311_101552,125890330,39,9,128,32,-105
2756,481387_101532,125931787,32,351,1060,29,-95
2568,481387_101491,125890571,11,346,760,25,-100
1481,481368_101492,125890571,28,349,351,25,-113
568,481334_101537,125932299,355,350,189,25,-101
3363,481278_101706,125932299,326,343,4593,25,-113
875,481366_101498,125890571,5,350,247,25,-102
2316,481346_101549,125932299,20,345,576,25,-89
1694,481372_101503,125870872,327,2,387,45,-104
1351,481336_101519,17854861,277,22,331,26,-92
2733,481385_101530,125931787,33,351,996,29,-95
242,481329_101533,125932299,300,7,120,25,-89
1412,481371_101501,125870872,322,4,339,45,-114
239,481319_101546,125890330,236,145,119,32,-99
417,481310_101553,125890330,42,6,160,32,-99
3066,481269_101531,17854861,255,163,1874,26,-80
2334,481374_101516,125890571,313,348,585,25,-109
2196,481370_101511,17854861,59,351,526,26,-109
1034,481359_101512,17854861,54,355,274,26,-104
770,481357_101511,17854861,58,358,227,26,-106
2358,481370_101522,125931787,34,353,596,29,-85
2115,481355_101529,17854861,353,349,490,26,-132
2362,481380_101508,125890571,336,347,599,25,-97
2252,481318_101547,125932299,304,347,550,25,-94
228,481349_101515,125931787,353,4,116,29,-108
2910,481385_101454,125890571,53,346,1337,25,-102
3036,481388_101451,17854861,114,164,1769,26,-105
3317,481311_101668,125932299,335,343,3501,25,-112
1671,481372_101502,125890571,347,348,383,25,-100
1939,481366_101509,17854861,65,354,436,26,-116
2291,481312_101542,125932299,286,352,567,25,-92
179,481376_101490,125870872,22,22,103,45,-85
418,481311_101554,125890330,54,10,160,32,-104
1304,481358_101519,125931787,22,355,323,29,-93
1574,481363_101512,17854861,55,353,366,26,-99
2197,481317_101545,125932299,299,348,527,25,-89
2548,481343_101564,125890330,161,168,733,32,-92
1797,481363_101518,17854861,35,350,407,26,-87
1477,481356_101486,125890571,82,15,351,25,-113
